English (source language),Français (target language),Category,Version,Notes
Canada,le Canada,countries,1
Algeria,l'Algérie,countries,1
China,la Chine,countries,1
France,la France,countries,1,
Hungary,la Hongrie,countries,1,
Germany,l'Allemagne,countries,1,
Italy,l'Italie,countries,1,
United States,les États-Unis,countries,1,
Denmark,le Danemark,countries,1,
Luxembourg,le Luxembourg,countries,1,
Gabon,le Gabon,countries,1,
zero,zéro,numbers,1,
one (M),un,numbers,1,
one (F),une,numbers,1,
two,deux,numbers,1,
three,trois,numbers,1,
four,quatre,numbers,1,
five,cinq,numbers,1,
six,six,numbers,1,
seven,sept,numbers,1,
eight,huit,numbers,1,
nine,neuf,numbers,1,
ten,dix,numbers,1,
eleven,onze,numbers,1,
twelve,douze,numbers,1,
thirteen,treize,numbers,1,
fourteen,quatorze,numbers,1,
fifteen,quinze,numbers,1,
sixteen,seize,numbers,1,
twenty,vingt,numbers,1,
thirty,trente,numbers,1,
forty,quarante,numbers,1,
fifty,cinquante,numbers,1,
sixty,soixante,numbers,1,
monday,lundi,date and time,1,
tuesday,mardi,date and time,1,
wednesday,mercredi,date and time,1,
thursday,jeudi,date and time,1,
friday,vendredi,date and time,1,
saturday,samedi,date and time,1,
sunday,dimanche,date and time,1,
morning,le matin,date and time,1,
noon,le midi,date and time,1,
afternoon,l'après-midi,date and time,1,
evening (time of day),le soir,date and time,1,
evening (duration/whole evening),la soirée,date and time,1,
night,la nuit,date and time,1,
midnight,minuit,date and time,1,
minute,une minute,date and time,1,
hour,l'heure,date and time,1,
yesterday,hier,date and time,1,
today,aujourd'hui,date and time,1,
tomorrow,demain,date and time,1,
last week,la semaine dernière,date and time,1,
next week,la semaine prochaine,date and time,1,
week,la semaine,date and time,1,
month,le mois,date and time,1,
year,l'année,date and time,1,
years,ans,date and time,1,
january,janvier,date and time,1,
february,février,date and time,1,
march,mars,date and time,1,
april,avril,date and time,1,
may,mai,date and time,1,
june,juin,date and time,1,
july,juillet,date and time,1,
august,août,date and time,1,
september,septembre,date and time,1,
october,octobre,date and time,1,
november,novembre,date and time,1,
december,décembre,date and time,1,
architect (M),un architecte,professions,1,
architect (F),une architecte,professions,1,
singer (M),un chanteur,professions,1,
singer (F),une chanteuse,professions,1,
pastry chef (M),un pâtissier,professions,1,
pastry chef (F),une pâtissière,professions,1,
writer (M),un écrivain,professions,1,
writer (F),une écrivaine,professions,1,
journalist (M),un journaliste,professions,1,
journalist (F),une journaliste,professions,1,
footballer (M),un footballeur,professions,1,
footballer (F),une footballeuse,professions,1,
actor (M),un acteur,professions,1,
actor (F),une actrice,professions,1,
photographer (M),un photographe,professions,1,
photographer (F),une photographe,professions,1,
pen,un stylo,objects,1,
scissors,des ciseaux,objects,1,
notebook,un cahier,objects,1,
(pencil) case,une trousse,objects,1,
eraser,une gomme,objects,1,
keys,des clés,objects,1,
glasses,des lunettes,objects,1,
book,un livre,objects,1,
square,un carré,shapes,1,
triangle,un triangle,shapes,1,
circle,un rond/un cercle,shapes,1,
rectangle,un rectangle,shapes,1,
dance,la danse,sports,1,
swimming,la natation,sports,1,
jogging,le jogging,sports,1,
hiking,la randonnée,sports,1,
ski,le ski,sports,1,
mountain biking,le VTT,sports,1,
basketball,le basket-ball,sports,1,
football,le football,sports,1,
reading,la lecture,leisure activities,1,
painting,la peinture,leisure activities,1,
music,la musique,leisure activities,1,
drawing,le dessin,leisure activities,1,
DIY,le bricolage,leisure activities,1,
sewing,la couture,leisure activities,1,
sculpture,la sculpture,leisure activities,1,
